dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1765281600,3,268.22,0.01,0.57,119.22,2.15,45.71,51.2,0.0
1765285200,3,271.5,0.0,0.58,116.13,1.83,42.45,47.7,0.0
1765288800,3,278.41,0.0,0.53,113.46,1.53,39.62,44.75,0.0
1765292400,3,285.68,0.0,0.5,110.87,1.26,36.7,41.72,0.0
1765296000,3,290.11,0.0,0.47,108.55,1.07,33.94,38.73,0.0
1765299600,3,291.69,0.0,0.44,107.41,0.95,31.91,36.31,0.0
1765303200,3,291.51,0.0,0.41,106.5,0.89,30.26,34.27,0.0
1765306800,3,291.26,0.0,0.41,104.93,0.97,28.68,32.21,0.0
1765310400,3,293.4,0.0,0.44,103.3,1.05,27.58,30.76,0.0
1765314000,3,296.61,0.0,0.45,102.88,1.09,27.14,30.1,0.0
1765317600,3,296.49,0.0,0.44,102.73,1.02,27.03,29.99,0.0
1765321200,3,296.57,0.0,0.42,102.41,0.9,27.19,30.2,0.0
1765324800,3,294.88,0.0,0.4,102.39,0.8,27.5,30.51,0.0
1765328400,3,293.23,0.0,0.36,103.89,0.75,28.81,31.72,0.0
1765332000,3,293.03,0.0,0.4,103.75,0.8,30.22,33.04,0.0
1765335600,3,293.89,0.02,0.46,103.15,0.89,31.49,34.26,0.0
1765339200,3,298.62,0.04,0.52,104.21,1.11,33.08,35.68,0.0
1765342800,3,305.12,0.05,0.65,105.13,1.42,34.68,37.16,0.0
1765346400,3,311.61,0.06,0.8,106.42,1.77,36.23,38.74,0.0
1765350000,3,315.9,0.07,0.78,110.09,2.0,38.34,40.97,0.0
1765353600,3,315.54,0.07,0.69,114.77,2.06,41.11,43.81,0.0
1765357200,3,313.78,0.07,0.66,119.15,2.05,43.79,46.53,0.0
1765360800,3,310.4,0.07,0.7,122.37,1.96,45.44,48.14,0.0
1765364400,3,305.76,0.06,0.8,124.66,1.89,45.79,48.41,0.0
1765368000,3,302.52,0.03,0.96,125.6,1.83,45.64,48.18,0.0
1765371600,3,300.42,0.0,1.03,125.9,1.8,45.19,47.68,0.0
1765375200,3,298.4,0.0,0.89,125.48,1.76,44.58,47.02,0.0
1765378800,3,295.67,0.0,0.79,124.39,1.68,43.91,46.34,0.0
1765382400,3,290.82,0.0,0.69,122.54,1.49,42.12,44.49,0.0
1765386000,3,287.88,0.0,0.64,121.43,1.39,40.68,43.0,0.0
1765389600,3,285.82,0.0,0.61,120.32,1.34,39.03,41.33,0.0
1765393200,3,278.83,0.0,0.63,115.67,1.33,32.15,34.28,0.0
1765396800,3,277.79,0.0,0.69,112.07,1.4,28.8,30.89,0.0
1765400400,3,278.68,0.0,0.79,109.67,1.56,27.83,30.01,0.0
1765404000,3,280.72,0.0,0.87,107.91,1.81,28.09,30.35,0.0
1765407600,3,282.18,0.0,0.85,107.02,1.97,29.54,31.91,0.0
1765411200,3,283.1,0.0,0.81,107.18,2.11,32.14,34.72,0.0
1765414800,3,284.59,0.0,0.78,108.27,2.26,35.92,38.99,0.0
1765418400,3,289.44,0.0,0.87,107.34,2.56,39.26,43.07,0.0
1765422000,3,295.7,0.01,1.11,106.18,2.91,42.34,47.02,0.0
1765425600,3,300.96,0.07,1.18,107.69,3.25,46.26,51.83,0.0
1765429200,4,303.83,0.08,1.09,112.0,3.35,50.36,56.47,0.0
1765432800,4,307.04,0.08,0.94,117.29,3.41,56.14,62.84,0.0
1765436400,4,307.97,0.07,0.77,122.81,3.38,62.49,69.63,0.0
1765440000,4,308.36,0.07,0.7,127.19,3.27,68.18,75.63,0.0
1765443600,4,306.64,0.06,0.69,130.67,3.15,73.01,80.78,0.0
1765447200,5,305.72,0.06,0.72,133.72,3.02,76.58,84.62,0.0
1765450800,5,302.08,0.05,0.82,135.32,2.88,78.52,86.69,0.0
1765454400,5,298.45,0.02,0.96,136.0,2.76,79.11,87.33,0.0
1765458000,5,294.95,0.0,0.96,135.4,2.6,78.38,86.44,0.0
1765461600,5,290.88,0.0,0.83,134.42,2.43,77.32,85.17,0.0
1765465200,5,288.56,0.0,0.76,133.73,2.34,76.85,84.6,0.0
1765468800,5,285.82,0.0,0.72,132.7,2.28,76.72,84.47,0.0
1765472400,5,283.0,0.0,0.69,132.39,2.23,77.2,85.07,0.0
1765476000,5,279.13,0.0,0.67,132.24,2.2,77.54,85.56,0.0
1765479600,5,275.96,0.0,0.65,131.78,2.24,77.78,86.09,0.0
1765483200,5,276.29,0.0,0.66,131.17,2.39,78.01,86.63,0.0
1765486800,5,279.59,0.0,0.72,128.9,2.62,77.16,86.01,0.0
1765490400,4,283.47,0.0,0.8,123.96,2.87,74.15,82.89,0.0
1765494000,4,287.59,0.0,0.9,118.75,3.09,70.38,78.8,0.0
1765497600,4,293.81,0.0,1.0,112.93,3.37,66.09,74.14,0.0
1765501200,4,302.15,0.0,1.1,107.34,3.74,62.15,70.09,0.0
1765504800,4,311.04,0.0,1.24,103.55,4.08,60.49,68.66,0.0
1765508400,4,317.84,0.01,1.45,102.54,4.32,60.88,69.47,0.0
1765512000,4,323.88,0.11,1.41,105.8,4.45,63.08,72.17,0.0
1765515600,4,328.81,0.12,1.23,112.72,4.42,66.21,75.71,0.0
