dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1765281600,5,1028.15,0.0,8.64,226.07,22.79,305.09,327.94,5.73
1765285200,5,1079.96,0.0,8.36,212.55,21.04,307.24,331.25,8.04
1765288800,5,1157.07,0.0,8.83,198.13,19.16,312.26,338.22,10.5
1765292400,5,1242.35,0.0,9.42,183.86,17.85,320.08,348.1,11.9
1765296000,5,1319.92,0.0,9.86,171.37,17.22,327.45,357.17,11.81
1765299600,5,1401.94,0.0,10.31,162.82,17.28,337.75,368.74,10.46
1765303200,5,1482.79,0.0,10.78,158.15,18.45,349.39,380.83,8.33
1765306800,5,1513.16,0.0,10.66,158.37,21.14,357.79,388.4,5.34
1765310400,5,1564.78,0.0,11.05,152.86,21.64,367.97,398.51,3.98
1765314000,5,1627.1,0.0,11.85,143.36,21.22,378.99,409.97,3.41
1765317600,5,1689.39,0.0,12.86,132.29,20.55,389.56,420.77,3.17
1765321200,5,1738.86,0.0,13.78,123.55,20.15,400.46,431.38,2.76
1765324800,5,1772.75,0.0,14.44,116.88,20.18,410.58,440.82,2.23
1765328400,5,1778.02,0.0,14.97,111.78,20.86,415.68,445.23,1.62
1765332000,5,1783.19,0.11,16.64,108.17,21.72,417.18,446.76,1.65
1765335600,5,1752.31,0.7,17.53,112.25,23.92,415.16,444.77,1.53
1765339200,5,1567.37,1.03,15.85,134.71,30.23,395.79,423.84,0.97
1765342800,5,1510.79,1.07,14.73,160.14,31.3,393.19,421.2,1.56
1765346400,5,1497.23,0.84,12.95,193.18,32.22,402.02,430.5,2.36
1765350000,5,1236.82,0.4,7.9,236.24,35.09,366.36,391.98,0.83
1765353600,5,1095.43,0.22,5.45,252.64,32.79,336.68,359.84,0.29
1765357200,5,1040.94,0.15,4.99,257.92,31.07,317.9,339.82,0.57
1765360800,5,1031.45,0.1,5.85,257.64,29.47,309.77,331.32,1.75
1765364400,5,1045.2,0.03,7.38,247.85,27.64,307.57,329.22,3.6
1765368000,5,1065.41,0.0,7.47,234.37,26.01,302.11,323.96,5.69
1765371600,5,1094.71,0.0,7.55,218.5,23.92,297.08,319.51,8.03
1765375200,5,1150.13,0.0,8.49,199.7,21.48,293.92,317.94,10.96
1765378800,5,1210.78,0.0,9.49,181.03,19.6,290.48,316.41,13.35
1765382400,5,1228.53,0.0,10.15,165.36,18.99,275.9,302.94,13.7
1765386000,5,1280.14,0.0,11.05,151.32,18.46,275.32,303.73,13.19
1765389600,5,1338.83,0.0,11.9,139.0,18.41,279.1,308.28,12.13
1765393200,5,1382.84,0.0,12.53,127.17,18.69,281.28,310.53,10.88
1765396800,5,1420.3,0.0,12.93,117.64,19.29,284.37,313.36,9.98
1765400400,5,1453.27,0.0,13.19,109.71,19.96,287.99,316.46,9.72
1765404000,5,1477.32,0.0,13.46,102.14,20.44,290.33,318.12,9.92
1765407600,5,1500.63,0.0,13.97,95.79,20.85,292.63,319.74,9.75
1765411200,5,1526.16,0.0,14.67,91.76,22.46,295.38,321.95,9.0
1765414800,5,1524.61,0.0,14.92,93.74,31.67,300.36,327.03,6.77
1765418400,5,1622.27,0.2,18.32,85.87,35.42,311.46,339.41,6.13
1765422000,5,1707.99,1.36,20.26,84.02,41.13,320.47,349.66,6.0
1765425600,5,1543.17,1.81,18.36,106.28,60.46,314.11,341.11,3.89
1765429200,5,1500.0,1.79,17.7,132.26,65.84,318.81,345.82,3.93
1765432800,5,1467.89,1.29,15.79,168.79,65.25,331.8,358.92,4.21
1765436400,5,1104.84,0.47,8.31,215.37,62.28,285.69,308.29,1.82
1765440000,5,930.38,0.24,5.11,228.87,53.88,252.4,272.37,1.78
1765443600,5,869.24,0.15,4.47,234.16,49.47,239.07,258.09,2.0
1765447200,5,863.87,0.1,5.55,232.42,45.22,237.31,256.45,3.43
1765450800,5,890.86,0.03,7.67,221.23,40.13,237.82,257.79,6.49
1765454400,5,924.34,0.0,8.6,207.36,35.92,235.99,256.99,9.39
1765458000,5,956.45,0.0,9.03,193.2,32.58,233.45,255.76,11.82
1765461600,5,1002.28,0.0,9.56,180.5,30.38,232.22,256.3,14.44
1765465200,5,1056.36,0.0,10.16,167.44,28.84,232.38,258.32,16.51
1765468800,5,1110.17,0.0,10.76,154.99,27.53,231.61,259.09,17.39
1765472400,5,1177.1,0.0,11.67,142.99,25.82,234.43,263.38,16.98
1765476000,5,1248.5,0.0,12.64,131.79,24.29,239.29,268.99,15.63
